name,slug,plex_slug,id,callSign,tmsid,time_shift,notes,notes2,notes3
365BLK,365blk,plex-365blk,6745dca72832b870acf53220,365BLKF,169857,,,0,0
Acorn TV Mysteries,acorn-tv-mysteries-2,plex-acorn-tv-mysteries-2,6848269efd17cd629e5df2e9,ACNMYST,180558,,,0,1
American Crimes,american-crimes,plex-american-crimes,6467891c73e5e029428f0e16,ACRM,138396,,,0,8
AsianCrush,asiancrush,plex-asiancrush,5eea605474085f0040ddc767,ACRUSH,130620,,,0,0
AccuWeather NOW,accuweather-now-2,plex-accuweather-now-2,6151d74593dbf246f0843f01,ACUWNW,120551,,,0,0
ALF,alf,plex-alf,62d1ecc8e44d39da220722aa,ALF,89311,,,0,1
All Weddings We TV,all-weddings-we-tv,plex-all-weddings-we-tv,60de0520281b17002cd1d4c4,ALLWED,117227,,,0,1
AMC en Español,amc-en-espanol,plex-amc-en-espanol,62d1efa6c33948ea4ceedbcf,AMCNESP,125090,,,0,1
AMC Thrillers,amc-thrillers,plex-amc-thrillers,5fc705e2a2236e002d69f36d,AMCRSH,115678,,,0,8
ANIME x HIDIVE,anime-x-hidive-2,plex-anime-x-hidive-2,63dea56a2a2abb171ff6dadf,ANIMEH,132816,,,0,0
AXS TV Now,axs-tv-now,plex-axs-tv-now,606605549dbfca002d2ae875,AXSTNST,123156,,,0,0
BBC News (North America),bbc-news-north-america,plex-bbc-news-north-america,646fab0e43d6d6838db81a6a,BBCWDE,101443,,,0,0
Bounce XL,bouncexl,plex-bouncexl,623d9b0370560b72147a994a,BOUNSTR,120372,,,0,0
Bravo Vault,bravo-vault,plex-bravo-vault,645e328fb164db00b4547f05,BRVVLT,138400,,,0,8
Caso Cerrado,telemundo-romance,plex-telemundo-romance,6478acb5c83f56da796f166d,CASOCER,138528,,,0,1
CBC News,cbc-news-international,plex-cbc-news-international,64c91830ea7db2f52688c52c,CBCINT,124721,,,0,0
Cheddar,cheddar-news,plex-cheddar-news,5f6b8e5900b0950040d0f2af,CHEDSTR,101103,,,0,0
Cirque du Soleil,cirque-du-soleil,plex-cirque-du-soleil,67642f277c5e3b38af72dcdb,CIDUS,167590,,,0,0
Stingray Classica Stream,stingray-classica-stream,plex-stingray-classica-stream,62d7f68fb19cbf65dc7bef7d,CLA008A,122326,,,0,0
Comedy Dynamics,comedy-dynamics,plex-comedy-dynamics,5efe1de5e0b3f5003f5d9f76,COMCLN,115447,,,0,8
Court TV,court-tv,plex-court-tv,6245d867ddf1ba983d5b8bf8,COURTST,123605,,,0,0
Curiosity NOW,curiosity-now-5,plex-curiosity-now-5,64831c8be3541c909e96d240,CURINOW,123667,,,0,0
Dog Whisperer,dog-whisperer,plex-dog-whisperer,652a8b001b5c74bc83cf727c,DOGWHSP,147688,,,0,0
Dove,dove-channel,plex-dove-channel,5efe1de8e0b3f5003f5d9f91,DOVESTR,110480,,,0,0
EarthXtra,earthxtra,plex-earthxtra,65f0cae2046e6131ecc3183f,EARTHXT,175889,,,0,0
The Ed Sullivan Show,the-ed-sullivan-show,plex-the-ed-sullivan-show,640205c68ecb41f2d89d5814,EDSSHOW,135306,,,0,1
E! Keeping Up,e-keeping-up,plex-e-keeping-up,645e328e3ea1d2d705ef8ab2,EKEEPUP,138393,,,0,0
El Rey Rebel,el-rey-rebel,plex-el-rey-rebel,6335ad3170dc93c71ab5ce09,ELREYST,124328,,,0,0
FanDuel TV Extra,fanduel-tv-extra-2,plex-fanduel-tv-extra-2,64e9f17c7511e20e999d6c34,FDTVX,145517,,,0,0
Fight Network,fight-network,plex-fight-network,606605549dbfca002d2ae877,FIGHTNS,123170,,,0,1
Farscape,farscape,plex-farscape,635195e9ccee3e1547a8831a,FSCAPE,130175,,,0,0
Fubo Sports Network,fubo-sports-network,plex-fubo-sports-network,5fc705f68aba71002d8b7b37,FUBOSNX,121984,,106100,0,0
FUEL TV,fuel-tv-4,plex-fuel-tv-4,62d15f16001c04178f555e40,FUEL,116115,,,0,0
FOX Weather,fox-weather,plex-fox-weather,6351b29cb940534786b2ec17,FWX,121307,,,0,0
9 Story Presents: Garfield and Friends,9-story-presents-garfield-and-friends,plex-9-story-presents-garfield-and-friends,6745dca72832b870acf5321f,GFDNFRD,155811,,,0,1
The Grio,grio-ott,plex-grio-ott,5fe27da18cdd46002d85efed,GRIOOTT,116018,,,0,0
Grit Xtra,grit-xtra,plex-grit-xtra,62b45f15b4508e0eedacdf25,GRITX,124040,,,0,0
GameTVGO,gametvgo-2,plex-gametvgo-2,64d2bdf1b18b113e0c610113,GTVGO,165441,,,0,1
GUSTOTV,gusto-tv,plex-gusto-tv,5f8746eabd529300418246d9,GUSTOTV,111140,,,0,0
HBCUGO SPORTS,hbcugo-sports,plex-hbcugo-sports,631a212e82b744e0309aa56e,HBCUGO,128535,,,0,0
Home.Made.Nation,home-made-nation,plex-home-made-nation,5f74cf82ffbe690040689f47,HMN,113673,,,0,1
IFC Films Picks,ifc-films-picks,plex-ifc-films-picks,5fc705eb052f6f002ef46057,IFCFILM,115677,,,0,0
Slightly Off IFC,slightly-off-ifc,plex-slightly-off-ifc,5fc705eea2236e002d69f5ae,IFCOFF,116019,,,0,8
TNA Wrestling Channel,tna-wrestling-channel,plex-tna-wrestling-channel,606605549dbfca002d2ae873,IMPACTW,121991,,,0,1
Ion Mystery,ion-mystery,plex-ion-mystery,62b45f15b4508e0eedacdf26,IMYSSTR,123651,,,0,0
ION Plus,ion-plus-streaming,plex-ion-plus-streaming,627e347795b0f50af26d78f9,IONPSTR,117518,,,0,0
ION,ion-streaming,plex-ion-streaming,624c37af6281708eabbbe26b,IONSTR,122912,,,0,0
Telemundo Texas,telemundo-texas,plex-telemundo-texas,6478acb5c83f56da796f1671,KTMDF,136700,,,0,1
NBC 5 Dallas Fort Worth News,nbc-5-dallas-fort-worth-news,plex-nbc-5-dallas-fort-worth-news,64511fb8b1345b8656370295,KXASSTR,124035,,,0,1
Laff More,laff-more,plex-laff-more,648095b14e104622d093d902,LAFFTV,137609,,,0,0
Love After Lockup We TV,love-after-lockup-we-tv,plex-love-after-lockup-we-tv,684059c5f36ba25bbd7fb81d,LALU,185538,,,0,1
Court TV Legendary Trials,court-tv-legendary-trials,plex-court-tv-legendary-trials,648095ad190e97d15c3470e9,LEGTRI,137506,,,0,1
LiveNOW from FOX,livenow-from-fox,plex-livenow-from-fox,6377ea0e13bb6b1757e14695,LIVENOW,119219,,,0,8
Lone Star,lone-star,plex-lone-star,6196c9241d310bf925e02616,LS,115226,,,0,1
LX Home Streaming,lx-home-streaming,plex-lx-home-streaming,645a5a1e4dc67ffc42d36558,LXHSTR,126864,,,0,0
Million Dollar Listing Vault,million-dollar-listing-vault,plex-million-dollar-listing-vault,670694b4836808fbb1561c91,MDLV,164081,,,0,1
Midnight Pulp,midnight-pulp,plex-midnight-pulp,5ef4e1b40d9ad000423c4427,MPULP,124312,,,0,1
MSG SportsZone,msg-sportszone,plex-msg-sportszone,63b5df3f27159bc9de3062aa,MSGZONE,132782,,,0,0
MotorTrend FAST TV,motortrend-fast-tv,plex-motortrend-fast-tv,6373bfe48e2036e4410ddb82,MTFAST,126737,,,0,0
Nashville,nashville,plex-nashville,6087ff3ae99ff1002ce1465b,NASH,118859,,,0,1
NBC News NOW,nbc-news-now,plex-nbc-news-now,5fc70600dd53a6002d8f93ca,NBCNN,114174,,,0,0
Stingray Naturescape,stingray-naturescape,plex-stingray-naturescape,60d324f59adce5002c41dbc5,NESCAPP,115729,,,0,0
NESN NATION,nesn-nation,plex-nesn-nation,6759a32270e41582b1b7a236,NESNNAT,166712,,,0,0
NFL Channel,nfl-channel,plex-nfl-channel,61e805952502a7a6fa84d70f,NFLDC1,121705,,,0,0
Noticias Telemundo AHORA,noticias-telemundo-ahora,plex-noticias-telemundo-ahora,6478acb5c83f56da796f166c,NOTIAA,138525,,,0,1
Non-Stop '90s,non-stop-90s,plex-non-stop-90s,65bd5a538314c24e11553543,NS90S,151830,,,0,0
Outlaw,outlaw,plex-outlaw,66213052abd90e037ccd1fe4,OUTLW,157277,,,0,1
Oxygen True Crime Archives,oxygen-true-crime-archives,plex-oxygen-true-crime-archives,6467891c73e5e029428f0e18,OXYTCA,138585,,,0,0
Pam Grier's Soul Flix,pam-griers-soul-flix,plex-pam-griers-soul-flix,678819cadb8f0c5dc195cf50,PGSOULX,171699,,,0,1
Dateline,dateline,plex-dateline,5fc70600598c41002da3dd19,PK12,113957,,,0,0
TODAY All Day,today-all-day,plex-today-all-day,5fc70600598c41002da3dd39,PK20,114138,,,0,0
NBC Sports NOW,nbc-sports-now,plex-nbc-sports-now,5fc70600598c41002da3dd43,PK22,114140,,,0,0
GOLFPASS,golfpass,plex-golfpass,5fc706038aba71002d8b7c8e,PK24,114142,,,0,8
SNL Vault,snl-vault,plex-snl-vault,5fc70600598c41002da3dd34,PK3,113678,,,0,0
So... Real,so-real,plex-so-real,5f0ff262d71dcb00449ec012,REALSTR,114871,,,0,8
Real Housewives Vault,real-housewives-vault,plex-real-housewives-vault,645f840b361156ab4214e28d,RHLVT,138455,,,0,8
RetroCrush,retrocrush,plex-retrocrush,5ef4e1b40d9ad000423c442a,RRCRUSH,119355,,,0,0
Screambox TV,screambox-tv,plex-screambox-tv,641db53c2f7a0fca29488c99,SBOXTV,116607,,,0,1
Scares by Shudder,scares-by-shudder-3,plex-scares-by-shudder-3,650b38f490baad1963ad96f9,SBSHUDD,145846,,,0,1
Scripps News,newsy,plex-newsy,5fc705dda2236e002d69f211,SCNEWST,120010,,,0,8
Stingray Greatest Hits,stingray-greatest-hits,plex-stingray-greatest-hits,61aa97d4113e1e5137fd5325,SM047D,113306,,,0,1
Stingray Karaoke,stingray-karaoke-5,plex-stingray-karaoke-5,5fc705daa2236e002d69f108,SMUS67,110657,,,0,0
Qello Concerts,qello-concerts,plex-qello-concerts,5fe27da28c198b002d179199,SMUS68,113296,,,0,0
SportsGrid,sportsgrid,plex-sportsgrid,5ef11485d33ab9004048a1ca,SPOGRID,112732,,,0,8
Storage Wars by A&E,storage-wars-by-aande-2,plex-storage-wars-by-aande-2,67a37720786c8a28ae4965bb,STOWAR,172207,,,0,0
The Bob Ross Channel,the-bob-ross-channel,plex-the-bob-ross-channel,5efe1de6e0b3f5003f5d9f88,TBRCSTR,114491,,,0,1
Telemundo Acción,telemundo-accion,plex-telemundo-accion,6478acb5c83f56da796f1670,TLMDACC,138527,,,0,1
Telemundo al Dia,telemundo-al-dia,plex-telemundo-al-dia,6478acb5c83f56da796f166f,TLMDDIA,138526,,,0,1
Tastemade,tastemade,plex-tastemade,5ef51c802ddee5003f1c0225,TMFRE16,112480,,107076,0,0
The Walking Dead Espanol,the-walking-dead-espanol-2,plex-the-walking-dead-espanol-2,6848269efd17cd629e5df2ea,TWDEPLU,172381,,,0,1
The Walking Dead Universe,the-walking-dead-universe-2,plex-the-walking-dead-universe-2,5fc705ff2f220e002d5e6bce,TWDU,115540,,,0,8
All Reality We TV,all-reality-we-tv,plex-all-reality-we-tv,5fc705ff2f220e002d5e6bec,WEREAL,115679,,,0,1
Paranormal Files,paranormal-files,plex-paranormal-files,65e87f35335524a69e8e0ce0,XPLPF,147639,,,0,0
Yu-Gi-Oh!,yu-gi-oh-6,plex-yu-gi-oh-6,6617f52f0049fcb8e2b0d5b8,YUGIOH,155772,,,0,0
123GO!,123go,plex-123go,63eecb32ac23d1ee072087cb,,156196,,,0,1
4UV,4uv,plex-4uv,64149a3c238e21f260e7844c,,126373,,,0,1
5-Minute Crafts,5-minute-crafts,plex-5-minute-crafts,63894c1965b848bf2c8a7800,,156197,,,0,1
A Touch of Frost,a-touch-of-frost,plex-a-touch-of-frost,6674b595f04cf4bb9233c914,,163839,,,0,1
A&E Crime 360,aande-crime-360,plex-aande-crime-360,5f74cf7effbe690040689f41,,113780,,,0,2
Éxitos del Momento,exitos-del-momento,plex-exitos-del-momento,62efba6588a16bb7d6b6fb58,,68639,,,0,0
ACCDN,accdn,plex-accdn,5f8ee3727c75fa002d9e47c1,,124806,,,0,0
ACL Cornhole TV,acl-cornhole-tv-2,plex-acl-cornhole-tv-2,63504925a97bd70eaef54f01,,125196,,,0,1
AfroLandTV,afrolandtv,plex-afrolandtv,60e737a4ebef9d002c4d0a0c,,134197,-6,,0,1
Alien Nation by DUST,alien-nation-by-dust-2,plex-alien-nation-by-dust-2,63d6f799a9e88ee909e7ee21,,112881,,,0,0
ALLBLK Gems,allblk-gems,plex-allblk-gems,628bb0eafcb403aa62d2317d,,124177,,,0,0
Alternative,alternative,plex-alternative,62efbb8652f7d73061eec498,,113301,,67568,0,0
Always Funny,always-funny,plex-always-funny,5ef11486d33ab9004048a1cd,,134109,,,0,1
Always Funny en Español,always-funny-en-espanol,plex-always-funny-en-espanol,5ef4e1b10d9ad000423c4421,,136735,,,0,1
Anger Management,anger-management,plex-anger-management,6303ca568a01b5d4dae57d0e,,125128,,,0,1
Antiques Road Trip,antiques-road-trip,plex-antiques-road-trip,6348adc71159f6a5ce819b85,,128545,,,0,1
Antiques Roadshow UK,antiques-roadshow-uk,plex-antiques-roadshow-uk,630902bf0417b7074a4ad95c,,120073,-5,,0,1
Are We There Yet?,are-we-there-yet,plex-are-we-there-yet,612919784f53e1002c9aa219,,120377,,,0,0
ÚN TV,un-tv,plex-un-tv,65f0de01046e6131ecc31845,,140180,,,0,1
At Home with Family Handyman,at-home-with-family-handyman,plex-at-home-with-family-handyman,632270e3e67cf9cd9011fce1,,127174,,,0,0
At the Movies,at-the-movies,plex-at-the-movies,66a2c1370b91165254efdb3c,,138029,,170368,0,0
Autopista al Cielo,autopista-al-cielo,plex-autopista-al-cielo,6449369eb3ff17382cae5811,,137067,,,0,1
Ax Men by History,ax-men-by-history,plex-ax-men-by-history,63c1ec0e0aa23f984207af82,,123425,-5,,0,1
Azteca Internacional,azteca-internacional,plex-azteca-internacional,646d06c9b09f13b2d8af68d8,,100599,,,0,1
BACKSTAGE,backstage,plex-backstage,608aec5fa09205002da4f28f,,117060,,,0,0
Baywatch,baywatch,plex-baywatch,63e63f20abacad42ed3d1acf,,120491,,,0,1
BBC Comedy,bbc-comedy,plex-bbc-comedy,65622fb65dbccec83a87b643,,141828,,,0,1
BBC Earth,bbc-earth,plex-bbc-earth,6414a73254c537d12d8073d7,,151422,,135387,0,8
BBC Food,bbc-food,plex-bbc-food,630905af0417b7074a4ad95e,,120076,-5,,0,1
BBC Game Shows,bbc-game-shows,plex-bbc-game-shows,656229e4b7d737841f30a4fb,,141827,,,0,1
BBC Home & Garden,bbc-home-and-garden,plex-bbc-home-and-garden,6308eda9ac9983739c8a29bb,,120074,-5,,0,1
BBC Sci-Fi,bbc-sci-fi,plex-bbc-sci-fi,65622ac05dbccec83a87b641,,141826,,,0,1
BBC Travel,bbc-travel,plex-bbc-travel,65622eddb7d737841f30a4fd,,141829,,,0,1
beIN SPORTS XTRA,bein-sports-xtra,plex-bein-sports-xtra,60a53634126de9002e694bc4,,120375,,,0,0
beIN Sports Xtra en Español,bein-sports-xtra-en-espanol,plex-bein-sports-xtra-en-espanol,64a8903d273b89c4e7396553,,119661,,,0,0
BET x Tyler Perry Comedy,bet-x-tyler-perry-comedy,plex-bet-x-tyler-perry-comedy,66635c20ca7b22f4c3a2d73f,,159706,,,0,0
BET x Tyler Perry Drama,bet-x-tyler-perry-drama,plex-bet-x-tyler-perry-drama,66635b07ca7b22f4c3a2d73d,,159707,,,0,0
Beyond Belief,beyond-belief-2,plex-beyond-belief-2,64f101b1c4b308f2fe3e7c0c,,136406,-3,,0,1
Beyond Paranormal,beyond-paranormal,plex-beyond-paranormal,64d2c6acb18b113e0c61012a,,155534,,,0,0
Billiard TV,billiard-tv,plex-billiard-tv,6334a8e48a7b2a349d903b8c,,120469,,,0,0
BritBox Mysteries,britbox-mysteries,plex-britbox-mysteries,639a0b83812b6c1429f7acd1,,135385,-5,,0,1
Buen Viaje,buen-viaje,plex-buen-viaje,666e15a3ce73ed6023b55a0f,,151309,,,0,1
BUZZR,buzzr,plex-buzzr,66a2d71b0b91165254efdb40,,113452,,,0,0
Canela.TV Deportes,canela-tv-deportes,plex-canela-tv-deportes,64fba7b6bb3e0baa5dcc0949,,129783,,,0,2
Canela.TV Hollywood y Más,canela-tv-hollywood-y-mas,plex-canela-tv-hollywood-y-mas,64fba5f3214cf8b3b54b5ecc,,129777,,,0,2
Canela.TV Narco-Drama,canela-tv-narco-drama,plex-canela-tv-narco-drama,64e6df6e4a5e9b4cedc6d529,,129781,,,0,2
Canela.TV Pasión Latina,canela-tv-pasion-latina,plex-canela-tv-pasion-latina,5f5132e362fe160040f26c18,,126569,,,0,2
Car Chase,car-chase,plex-car-chase,6605be856b034eec533c49ee,,148202,,,0,1
Caught in Providence,caught-in-providence,plex-caught-in-providence,61ddcdc03c12aa1e5d320aaf,,121881,,,0,1
CBS News,cbs-news,plex-cbs-news,6571f43a1d2aae780d597196,,104846,,,0,0
CBS News Colorado,cbs-news-colorado-2,plex-cbs-news-colorado-2,6571f5b31d2aae780d597198,,123120,,,0,0
CBS Sports Golazo Network,cbs-sports-golazo-network-2,plex-cbs-sports-golazo-network-2,6571186d9a46917c0a8f2ddd,,133691,,,0,0
CBS Sports HQ,cbs-sports-hq-2,plex-cbs-sports-hq-2,657107dc56226238740fcc2d,,108919,,,0,0
Celebrity Name Game,celebrity-name-game,plex-celebrity-name-game,640205c40e1daf16b299567e,,135168,,,0,1
Cheaters,cheaters,plex-cheaters,64f115ad2173e54397ce0d40,,154615,,,0,1
Cheaters en Español,cheaters-en-espanol,plex-cheaters-en-espanol,65623e0eb7d737841f30a4ff,,151233,,,0,1
Choppertown,choppertown,plex-choppertown,5ef11487d33ab9004048a1d3,,120283,,,0,1
Cine EstrellaTV,cine-estrellatv,plex-cine-estrellatv,64fb8ec0214cf8b3b54b5ec8,,132491,,,0,1
Cine y Series,cine-y-series-2,plex-cine-y-series-2,65f0e049046e6131ecc31847,,140182,,,0,1
CineLife,cinelife,plex-cinelife,616df1e90dfa27ee465797fa,,122969,,,0,0
Classic Doctor Who,classic-doctor-who,plex-classic-doctor-who,63068b870bbec3b06755a0ee,,120086,-5,,0,1
Classic Rock,classic-rock,plex-classic-rock,61aaa0cc784a2161d3caf7ff,,113303,,67567,0,0
Clic,clic,plex-clic,6469502df73356567a64ce8e,,92197,,,0,1
CNN Headlines,cnn-headlines,plex-cnn-headlines,66b4fcc2530e39ea2ee79545,,114958,,,0,1
Cold Case Files by A&E,cold-case-files-by-aande,plex-cold-case-files-by-aande,63f693a3fff2b53dc9ddc8f4,,129137,,,0,8
Combat War Channel,combat-war-channel,plex-combat-war-channel,65e87f35335524a69e8e0ce1,,147642,,,0,1
Confess by Nosey,confess-by-nosey,plex-confess-by-nosey,6438ee5a83766488c3bc9d4d,,135516,,,0,1
Corazón,corazon,plex-corazon,64694d52f73356567a64ce8c,,100594,,,0,1
Cosmic Frontiers,cosmic-frontiers,plex-cosmic-frontiers,63616d4c9fdbf7808e22baee,,135380,,,0,2
Court Sports Network,court-sports-network,plex-court-sports-network,652875586425fdb1f32d2169,,146962,,,0,8
CraftsyTV,craftsytv,plex-craftsytv,6365779dde08f8eec6c3f21f,,132607,,,0,0
Crime & Justice,crime-and-justice,plex-crime-and-justice,64224b7a7e28069f56b5d894,,134160,,,0,1
Crime Scene TV,crime-scene-tv,plex-crime-scene-tv,6615360a8423b8d7e61a099c,,154612,,,0,1
Crime Scenes,crime-scenes,plex-crime-scenes,66a2bfe594b6a49cb5054d75,,138028,,,0,1
Crime ThrillHer,crime-thrillher,plex-crime-thrillher,63c97b45187b3c9f3581fdfb,,123427,,,0,1
Crimes Cults Killers,crimes-cults-killers,plex-crimes-cults-killers,63c97410187b3c9f3581fdf4,,123430,,,0,1
CW Forever,cw-forever,plex-cw-forever,66635fc0ca7b22f4c3a2d743,,159704,,,0,0
CW Gold,cw-gold,plex-cw-gold,66635e41ca7b22f4c3a2d741,,159705,,,0,0
Dance Moms by Lifetime,dance-moms-by-lifetime,plex-dance-moms-by-lifetime,63ec13cb290593c3fc279f48,,126369,,,0,1
Dark Matter TV,dark-matter-tv,plex-dark-matter-tv,5eea605674085f0040ddc7a6,,128542,,,0,0
Deal Or No Deal,deal-or-no-deal-2,plex-deal-or-no-deal-2,6516023b1fc969615e69d172,,157901,,,0,1
Deal Zone Presented By History,deal-zone-presented-by-history,plex-deal-zone-presented-by-history,63c9724c5feb7b9655cb1950,,123432,,,0,1
Death Valley Days,death-valley-days,plex-death-valley-days,6674b68af04cf4bb9233c916,,157393,,,0,1
Degrassi,degrassi,plex-degrassi,636d5aa3dc2c550b145ed422,,123455,-5,,0,1
Desi Play TV,desi-play-tv,plex-desi-play-tv,634dddc8a319c6df243f521f,,131393,,,0,1
Dick Van Dyke,dick-van-dyke,plex-dick-van-dyke,6449369eb3ff17382cae5801,,137069,,,0,0
Documentary+,documentary-3,plex-documentary-3,62f42e6cad0081c6ef405723,,129672,-5,,0,1
Dog the Bounty Hunter,dog-the-bounty-hunter,plex-dog-the-bounty-hunter,66428faa5116d565e63ae32a,,150981,,,0,8
Don't Tell The Bride,dont-tell-the-bride,plex-dont-tell-the-bride,635847d0d3a668f1cafc1f9d,,121714,,,0,1
DP World Tour,dp-world-tour,plex-dp-world-tour,67858517d3749c9bdd4d2ecf,,167542,,,0,0
Dr. G: Medical Examiner,dr-g-medical-examiner,plex-dr-g-medical-examiner,6449369eb3ff17382cae5807,,137078,,,0,1
Dr. Phil,dr-phil,plex-dr-phil,66e4cbef38de9754b6b13e90,,161356,,,0,1
DREAD TV,dread-tv-2,plex-dread-tv-2,64a04b8a261d597ce8b4c9ec,,158635,,,0,1
Duck Dynasty by A&E,duck-dynasty-by-aande,plex-duck-dynasty-by-aande,63f688faf615dc7d3f9071f7,,131429,,,0,2
Dungeons & Dragons Adventures,dungeons-and-dragons-adventures,plex-dungeons-and-dragons-adventures,653d9d28d3e2e30d889226be,,135576,,,0,1
Easy Listening,easy-listening,plex-easy-listening,62ee76b5271f393d2d9f709a,,67573,,,0,0
Ebony TV by Lionsgate,ebony-tv-by-lionsgate,plex-ebony-tv-by-lionsgate,6533de63bd43e1c8b1865152,,146144,,,0,0
Electric Now,electric-now,plex-electric-now,5f170d61b898490041b49360,,112797,,,0,1
ElectricNOW en Español,electricnow-en-espanol,plex-electricnow-en-espanol,6434540bf43c8cfbfdc6e600,,138244,,,0,1
Entertainment Tonight,entertainment-tonight,plex-entertainment-tonight,6578bb741a12778a8550d158,,110291,,,0,0
Estrella Games,estrella-games,plex-estrella-games,64fb9149bb3e0baa5dcc0944,,132456,,,0,1
Estrella News,estrella-news,plex-estrella-news,60089d97f682a3002c34829b,,117478,,,0,1
Estrella TV,estrella-tv,plex-estrella-tv,60089d98f682a3002c34829f,,102236,,,0,1
Euro Hits,euro-hits,plex-euro-hits,62ee74af52f7d73061eec491,,95855,,,0,0
Euronews,euronews,plex-euronews,60089d90f682a3002c348299,,19039,,,0,1
FailArmy,failarmy,plex-failarmy,5eea605574085f0040ddc791,,133321,,,0,1
Family Feud Classic,family-feud-classic,plex-family-feud-classic,64b710b44612b1f48e9ad31a,,138686,,,0,1
FIFA+,fifa-4,plex-fifa-4,66628d4a8dfc36b8c8a399c4,,168610,,,0,0
Fifth Gear (UK),fifth-gear-uk,plex-fifth-gear-uk,64106a1075be345a863fe0d7,,135674,,,0,1
FilmRise Anime,filmrise-anime,plex-filmrise-anime,6449369eb3ff17382cae5819,,137075,,,0,1
FilmRise British TV,filmrise-british-tv,plex-filmrise-british-tv,6449369eb3ff17382cae5808,,137070,,,0,1
FilmRise Concursos de Cocina,filmrise-concursos-de-cocina,plex-filmrise-concursos-de-cocina,6449369eb3ff17382cae5802,,137082,,,0,1
FilmRise Crímenes Verdaderos,filmrise-crimenes-verdaderos,plex-filmrise-crimenes-verdaderos,6449369f243fbe342a9c0b4e,,137081,,,0,1
FilmRise Kids,filmrise-kids,plex-filmrise-kids,6449369eb3ff17382cae57ff,,137079,,,0,1
FilmRise Películas Gratis,filmrise-peliculas-gratis,plex-filmrise-peliculas-gratis,6449369eb3ff17382cae57fc,,137071,,,0,1
